"","motif","sourceMotif","gene"
"GLI4.m0","GLI4.m0","N2_M09529/N1_M06096","GLI4"
"GLIS1.m0","GLIS1.m0","N1_M03115/N5_MA0735.2/N6_GLIS1.h0/N7_GLIS1.e0","GLIS1"
"GLIS1.m1","GLIS1.m1","N3_M04769","GLIS1"
"GLIS2.m0","GLIS2.m0","N2_Glis2.h0/N8_GLIS2.e0/N1_M00184","GLIS2"
"GLIS2.m1","GLIS2.m1","N6_MA0736.1/N7_GLIS2.h0/N9_GLIS2.e1/N3_M03091/N5_M04654/N4_M04653","GLIS2"
"GLIS3.m0","GLIS3.m0","N1_M03084/N4_GLIS3.h1/N5_GLIS3.e0/N2_MA0737.1","GLIS3"
"GMEB1.m0","GMEB1.m0","N1_MA0615.2/N2_Gmeb1.h0/N3_Gmeb1.h1/N7_GMEB1.e0","GMEB1"
"GMEB1.m1","GMEB1.m1","N5_M05941","GMEB1"
"GMEB1.m2","GMEB1.m2","N6_M05942","GMEB1"
"GMEB2.m0","GMEB2.m0","N1_M03675/N9_GMEB2.e0","GMEB2"
"GMEB2.m1","GMEB2.m1","N2_M03676/N10_GMEB2.e1","GMEB2"
"GMEB2.m2","GMEB2.m2","N3_M03677/N11_GMEB2.e2","GMEB2"
"GMEB2.m3","GMEB2.m3","N7_MA0862.1/N8_GMEB2.h0/N12_GMEB2.e3/N4_M03678","GMEB2"
"GMEB2.m4","GMEB2.m4","N5_M05939","GMEB2"
"GRHL1.m0","GRHL1.m0","N1_M03275/N8_GRHL1.e0","GRHL1"
"GRHL1.m1","GRHL1.m1","N3_M03277/N6_MA0647.2/N7_GRHL1.h0/N10_GRHL1.e2/N2_M03276/N9_GRHL1.e1/N4_M05091/N5_M05092","GRHL1"
"GRHL2.m0","GRHL2.m0","N1_M10681/N3_GRHL2.h0","GRHL2"
"GRHL2.m1","GRHL2.m1","N2_MA1105.3/N4_GRHL2.h1","GRHL2"
"GSC.m0","GSC.m0","N1_Gsc.h0/N10_GSC.e0/N4_M05339/N5_M05340/N3_M05338/N2_M03350/N7_MA0648.2/N9_GSC.h1/N11_GSC.e1/N6_M05341/N8_GSC.h0","GSC"
"GSC2.m0","GSC2.m0","N22_M06715/N2_M00617/N6_M02226/N8_M04012/N5_M01323/N18_M06678/N23_M06716/N20_M06693/N3_M00729/N26_M10804/N4_M00734/N9_M04021/N24_M10700/N19_M06679/N21_M06694/N25_M10707","GSC2"
"GSC2.m1","GSC2.m1","N12_M04024/N10_M04022","GSC2"
"GSC2.m2","GSC2.m2","N13_M04025/N11_M04023","GSC2"
"GSC2.m3","GSC2.m3","N16_M04048","GSC2"
"GSX2.m0","GSX2.m0","N1_Gsx2.h0/N6_GSX2.e0","GSX2"
"GSX2.m1","GSX2.m1","N2_M05533/N4_MA0893.3/N5_GSX2.h0","GSX2"
"GSX2.m2","GSX2.m2","N3_M05534","GSX2"
"GTF2A1.m0","GTF2A1.m0","GTF2A1.e0","GTF2A1"
"GTF2I.m0","GTF2I.m0","GTF2I.e0","GTF2I"
"GTF2IRD2B.m0","GTF2IRD2B.m0","M06183","GTF2IRD2B"
"GTF3A.m0","GTF3A.m0","M09436","GTF3A"
"GZF1.m0","GZF1.m0","GZF1.e0","GZF1"
"HAND1--TCF3.m0","HAND1--TCF3.m0","N2_Hand1--Tcf3.h0/N1_MA0092.2","HAND1--TCF3"
"HAND1.m0","HAND1.m0","N1_MA2123.1","HAND1"
"HAND1.m1","HAND1.m1","N3_HAND1.e1/N2_HAND1.e0","HAND1"
"HAND2.m0","HAND2.m0","N1_Hand2.h0","HAND2"
"HAND2.m1","HAND2.m1","N2_M04354/N3_M04355","HAND2"
"HAND2.m2","HAND2.m2","N4_MA1638.2/N5_HAND2.h0","HAND2"
"HBP1.m0","HBP1.m0","N1_Hbp1.h0/N3_HBP1.e0","HBP1"
"HBP1.m1","HBP1.m1","N2_Hbp1.h1","HBP1"
"HDAC2.m0","HDAC2.m0","N1_HDAC2.e0","HDAC2"
"HDAC2.m1","HDAC2.m1","N2_HDAC2.e1","HDAC2"
"HDAC2.m2","HDAC2.m2","N3_HDAC2.e2","HDAC2"
"HDAC2.m3","HDAC2.m3","N4_HDAC2.e3","HDAC2"
"HDAC2.m4","HDAC2.m4","N5_HDAC2.e4","HDAC2"
"HDAC2.m5","HDAC2.m5","N6_HDAC2.e5","HDAC2"
"HDX.m0","HDX.m0","N1_Hdx.h0/N2_HDX.e0","HDX"
"HERPUD1.m0","HERPUD1.m0","HERPUD1.e0","HERPUD1"
"HES1.m0","HES1.m0","N1_M04294/N2_MA1099.3/N3_HES1.h0","HES1"
"HES1.m1","HES1.m1","N4_HES1.e0","HES1"
"HES2.m0","HES2.m0","N2_M04264/N4_HES2.h0/N3_MA0616.3","HES2"
"HES5.m0","HES5.m0","N2_M03014/N1_M03013/N6_HES5.h0/N7_HES5.e0","HES5"
"HES5.m1","HES5.m1","N5_MA0821.2","HES5"
"HES6.m0","HES6.m0","N1_M04343/N3_HES6.h0/N2_MA1493.1","HES6"
"HES7.m0","HES7.m0","N2_M03006/N4_MA0822.1/N5_HES7.h0/N6_HES7.e0","HES7"
"HES7.m1","HES7.m1","N3_M04395","HES7"
"HESX1.m0","HESX1.m0","N2_M00364/N3_M03391/N7_MA0894.2/N8_HESX1.h0/N9_HESX1.e0","HESX1"
"HESX1.m1","HESX1.m1","N4_M03392/N10_HESX1.e1","HESX1"
"HEY1.m0","HEY1.m0","N1_M02997/N5_MA0823.1/N6_HEY1.h0/N9_HEY1.e2","HEY1"
"HEY1.m1","HEY1.m1","N7_HEY1.e0","HEY1"
"HEY2.m0","HEY2.m0","N6_MA0649.2/N7_HEY2.h0/N9_HEY2.e1/N2_M02995/N1_M02994/N8_HEY2.e0","HEY2"
"HEY2.m1","HEY2.m1","N4_M04337/N3_M04335","HEY2"
"HEYL.m0","HEYL.m0","M01804","HEYL"
"HHEX.m0","HHEX.m0","N1_M06754/N2_M06755","HHEX"
"HIC1.m0","HIC1.m0","N1_M00196","HIC1"
"HIC1.m1","HIC1.m1","N2_M03137/N14_HIC1.e3","HIC1"
"HIC1.m2","HIC1.m2","N6_Hic1.h1/N13_HIC1.e2/N9_M04773/N8_M04772/N3_M03138/N4_MA0739.2/N5_Hic1.h0/N15_HIC1.e4","HIC1"
"HIC1.m3","HIC1.m3","N7_Hic1.h2","HIC1"
"HIC2.m0","HIC2.m0","N1_M03106/N2_MA0738.2/N3_HIC2.h0/N4_HIC2.e0","HIC2"
"HIF1A--ARNT.m0","HIF1A--ARNT.m0","HIF1A--ARNT.e0","HIF1A--ARNT"
"HIF1A.m0","HIF1A.m0","N3_MA1106.2/N4_HIF1A.h0/N1_HIF1a.h0/N2_M10577","HIF1A"
"HIF1A.m1","HIF1A.m1","N6_HIF1A.e1/N5_HIF1A.e0","HIF1A"
"HINFP.m0","HINFP.m0","N1_M03111/N4_MA0131.3/N6_HINFP.h1/N8_HINFP.e1","HINFP"
"HINFP.m1","HINFP.m1","N2_M03112/N9_HINFP.e2","HINFP"
"HINFP.m2","HINFP.m2","N3_M03113/N10_HINFP.e3","HINFP"
"HINFP.m3","HINFP.m3","N7_HINFP.e0","HINFP"
"HLF.m0","HLF.m0","N1_M03064/N13_HLF.e3","HLF"
"HLF.m1","HLF.m1","N9_HLF.h1/N7_MA0043.4","HLF"
"HLTF.m0","HLTF.m0","N1_HLTF.h0/N2_HLTF.e0","HLTF"
"HLX.m0","HLX.m0","N1_Hlx.h0/N2_HLX.e0","HLX"
"HMBOX1.m0","HMBOX1.m0","N4_M05385/N1_Hmbox1.h0/N7_HMBOX1.e0/N3_M05384/N2_M03371/N5_MA0895.2/N6_HMBOX1.h0/N8_HMBOX1.e1","HMBOX1"
"HMG20B.m0","HMG20B.m0","N1_M02569","HMG20B"
"HMG20B.m1","HMG20B.m1","N2_M06199","HMG20B"
"HMGA1.m0","HMGA1.m0","N1_MA2124.1","HMGA1"
"HMGA1.m1","HMGA1.m1","N2_HMGA1.e0","HMGA1"
"HMGA1.m2","HMGA1.m2","N3_HMGA1.e1","HMGA1"
"HMGN3.m0","HMGN3.m0","N1_HMGN3.e0","HMGN3"
"HMGN3.m1","HMGN3.m1","N2_HMGN3.e1","HMGN3"
"HMX1.m0","HMX1.m0","N1_MA0896.2/N2_Hmx1.h0/N3_Hmx1.h1/N4_HMX1.e0/N5_HMX1.e1","HMX1"
"HMX2.m0","HMX2.m0","N1_MA0897.2/N2_Hmx2.h0/N3_Hmx2.h1/N4_HMX2.e0","HMX2"
"HMX3.m0","HMX3.m0","N1_MA0898.2/N2_Hmx3.h0/N3_Hmx3.h1/N5_HMX3.e1","HMX3"
"HMX3.m1","HMX3.m1","N4_HMX3.e0","HMX3"
"HNF1A.m0","HNF1A.m0","N2_MA1991.2","HNF1A"
"HNF1A.m1","HNF1A.m1","N3_M03354/N6_MA0046.3/N7_HNF1A.h0/N15_HNF1A.e7","HNF1A"
"HNF1A.m2","HNF1A.m2","N12_HNF1A.e4/N4_M11813","HNF1A"
"HNF1A.m3","HNF1A.m3","N5_M11816/N9_HNF1A.e1","HNF1A"
"HNF1A.m4","HNF1A.m4","N14_HNF1A.e6/N13_HNF1A.e5","HNF1A"
"HNF1B.m0","HNF1B.m0","N1_Hnf1b.h0/N8_HNF1B.e1","HNF1B"
"HNF1B.m1","HNF1B.m1","N3_M03449/N5_MA0153.2/N6_HNF1B.h0/N9_HNF1B.e2/N10_HNF1B.e3/N4_M03450","HNF1B"
"HNF1B.m2","HNF1B.m2","N7_HNF1B.e0","HNF1B"
"HNF4A.m0","HNF4A.m0","N1_M03630/N49_HNF4A.e22/N9_M03565/N47_HNF4A.e20/N16_M05782/N12_M05778/N6_M03562/N44_HNF4A.e17","HNF4A"
"HNF4A.m1","HNF4A.m1","N2_Hnf4a.h0/N42_HNF4A.e15","HNF4A"
"HNF4A.m2","HNF4A.m2","N28_HNF4A.e0/N3_Hnf4a.h1/N25_MA0114.5/N26_HNF4A.h0","HNF4A"
"HNF4A.m3","HNF4A.m3","N18_M05784/N14_M05780/N17_M05783/N7_M03563/N45_HNF4A.e18/N10_M03566/N48_HNF4A.e21/N13_M05779/N24_MA1494.2/N27_HNF4A.h1/N5_M03561/N43_HNF4A.e16/N19_M09012","HNF4A"
"HNF4A.m4","HNF4A.m4","N8_M03564/N46_HNF4A.e19/N15_M05781/N11_M05777/N36_HNF4A.e8/N22_M12228/N32_HNF4A.e4","HNF4A"
"HNF4A.m5","HNF4A.m5","N20_M09013","HNF4A"
"HNF4A.m6","HNF4A.m6","N29_HNF4A.e1","HNF4A"
"HNF4G.m0","HNF4G.m0","N3_HNF4G.e0/N1_MA0484.3/N2_HNF4G.h0","HNF4G"
"HNF4G.m1","HNF4G.m1","N4_HNF4G.e1","HNF4G"
"HNF4G.m2","HNF4G.m2","N5_HNF4G.e2","HNF4G"
"HOMEZ.m0","HOMEZ.m0","N2_M03446/N4_HOMEZ.e1/N1_Homez.h0/N3_HOMEZ.e0","HOMEZ"
"HOXA1.m0","HOXA1.m0","N1_Hoxa1.h0/N9_HOXA1.e0","HOXA1"
"HOXA1.m1","HOXA1.m1","N2_M03300/N10_HOXA1.e1/N3_M05163/N6_MA1495.2/N8_HOXA1.h1/N4_M05164","HOXA1"
"HOXA1.m2","HOXA1.m2","N5_M05165","HOXA1"
"HOXA1.m3","HOXA1.m3","N7_HOXA1.h0","HOXA1"
"HOXA10.m0","HOXA10.m0","N1_Hoxa10.h0","HOXA10"
"HOXA10.m1","HOXA10.m1","N2_Hoxa10.h1/N5_HOXA10.e0/N3_MA0899.2/N4_HOXA10.h0/N7_HOXA10.e2","HOXA10"
"HOXA10.m2","HOXA10.m2","N6_HOXA10.e1","HOXA10"
"HOXA11.m0","HOXA11.m0","N6_M05103/N3_Hoxa11.h2/N8_HOXA11.e0/N4_M05101/N2_Hoxa11.h1/N9_HOXA11.e1/N1_MA0911.2","HOXA11"
"HOXA11.m1","HOXA11.m1","N7_M05104/N5_M05102/N10_HOXA11.e2","HOXA11"
"HOXA13.m0","HOXA13.m0","N8_M05181/N16_HOXA13.h0/N1_MA0650.4","HOXA13"
"HOXA13.m1","HOXA13.m1","N15_M05188/N9_M05182/N13_M05186/N3_Hoxa13.h1/N17_HOXA13.e0/N11_M05184/N7_M03305/N21_HOXA13.e4/N5_M03303/N19_HOXA13.e2","HOXA13"
"HOXA2.m0","HOXA2.m0","N1_Hoxa2.h0/N14_HOXA2.e0","HOXA2"
"HOXA2.m1","HOXA2.m1","N6_M05169/N11_MA0900.3/N13_HOXA2.h1/N7_M05170/N4_M05167","HOXA2"
"HOXA2.m2","HOXA2.m2","N8_M05171/N5_M05168","HOXA2"
"HOXA2.m3","HOXA2.m3","N10_M10689/N12_HOXA2.h0","HOXA2"
"HOXA3.m0","HOXA3.m0","N1_Hoxa3.h0/N6_HOXA3.e1/N3_Hoxa3.h2/N7_HOXA3.e2/N5_MA2119.1","HOXA3"
"HOXA3.m1","HOXA3.m1","N2_Hoxa3.h1","HOXA3"
"HOXA4.m0","HOXA4.m0","N1_Hoxa4.h0/N7_HOXA4.e1","HOXA4"
"HOXA4.m1","HOXA4.m1","N4_MA1496.2/N5_HOXA4.h0/N2_M05585","HOXA4"
"HOXA4.m2","HOXA4.m2","N3_M05586","HOXA4"
"HOXA4.m3","HOXA4.m3","N6_HOXA4.e0","HOXA4"
"HOXA5.m0","HOXA5.m0","N1_Hoxa5.h0/N13_HOXA5.e2","HOXA5"
"HOXA5.m1","HOXA5.m1","N2_M05172/N9_MA0158.2/N10_HOXA5.h0","HOXA5"
"HOXA5.m2","HOXA5.m2","N3_M05173/N6_M05176/N5_M05175","HOXA5"
"HOXA5.m4","HOXA5.m4","N8_M11775/N11_HOXA5.e0","HOXA5"
"HOXA6.m0","HOXA6.m0","N1_Hoxa6.h0/N7_HOXA6.e0","HOXA6"
"HOXA6.m1","HOXA6.m1","N3_M05179/N2_M05178/N5_MA1497.2/N6_HOXA6.h0","HOXA6"
"HOXA7.m0","HOXA7.m0","N1_Hoxa7.h0/N9_HOXA7.e1/N3_M05273/N7_HOXA7.h0/N4_M05274/N6_MA1498.3","HOXA7"
"HOXA7.m1","HOXA7.m1","N2_Hoxa7.h1/N10_HOXA7.e2","HOXA7"
"HOXA7.m2","HOXA7.m2","N5_M05275","HOXA7"
"HOXA7.m3","HOXA7.m3","N8_HOXA7.e0","HOXA7"
"HOXA9.m0","HOXA9.m0","N1_Hoxa9.h0","HOXA9"
"HOXA9.m1","HOXA9.m1","N2_Hoxa9.h1/N9_HOXA9.e0/N4_M03290","HOXA9"
"HOXA9.m2","HOXA9.m2","N3_M03289","HOXA9"
"HOXA9.m3","HOXA9.m3","N5_M05137/N7_MA0594.3/N8_HOXA9.h0","HOXA9"
"HOXB1.m0","HOXB1.m0","N1_M05261/N4_MA2093.1/N2_M05262","HOXB1"
"HOXB1.m1","HOXB1.m1","N3_M05263","HOXB1"
"HOXB13.m0","HOXB13.m0","N4_M05405/N8_HOXB13.h0/N2_M03379/N11_HOXB13.e1/N1_Hoxb13.h0/N10_HOXB13.e0","HOXB13"
"HOXB13.m1","HOXB13.m1","N6_M05407/N12_HOXB13.e2","HOXB13"
"HOXB13.m2","HOXB13.m2","N7_MA0901.3/N9_HOXB13.h1","HOXB13"
"HOXB2--ELK1.m0","HOXB2--ELK1.m0","MA1957.1","HOXB2--ELK1"
"HOXB2.m0","HOXB2.m0","N3_M05497/N2_M05496/N5_MA0902.3/N6_HOXB2.h0/N1_M03417/N7_HOXB2.e0","HOXB2"
"HOXB3.m0","HOXB3.m0","N1_Hoxb3.h0/N5_HOXB3.e0","HOXB3"
"HOXB3.m1","HOXB3.m1","N2_M03330/N3_MA0903.2/N4_HOXB3.h0/N6_HOXB3.e1","HOXB3"
"HOXB4.m0","HOXB4.m0","N1_Hoxb4.h0/N6_M10699","HOXB4"
"HOXB4.m1","HOXB4.m1","N2_Hoxb4.h1/N9_HOXB4.e0","HOXB4"
"HOXB4.m2","HOXB4.m2","N3_M05547/N7_MA1499.2/N8_HOXB4.h0/N4_M05548","HOXB4"
"HOXB5.m0","HOXB5.m0","N1_Hoxb5.h0/N11_HOXB5.e0","HOXB5"
"HOXB5.m2","HOXB5.m2","N6_M05258/N9_MA0904.3/N10_HOXB5.h0/N7_M05259","HOXB5"
"HOXB6.m0","HOXB6.m0","N1_Hoxb6.h0/N7_HOXB6.e0","HOXB6"
"HOXB6.m1","HOXB6.m1","N2_M05203/N5_MA1500.2/N6_HOXB6.h0","HOXB6"
"HOXB6.m2","HOXB6.m2","N3_M05204","HOXB6"
"HOXB7.m0","HOXB7.m0","N1_Hoxb7.h0/N4_HOXB7.e0","HOXB7"
"HOXB7.m1","HOXB7.m1","N2_MA1501.2/N3_HOXB7.h0","HOXB7"
"HOXB8.m0","HOXB8.m0","N1_Hoxb8.h0/N7_HOXB8.e0","HOXB8"
"HOXB8.m1","HOXB8.m1","N2_M05252/N5_MA1502.2/N6_HOXB8.h0/N3_M05253","HOXB8"
"HOXB9.m0","HOXB9.m0","N1_Hoxb9.h0/N7_HOXB9.e0","HOXB9"
"HOXB9.m1","HOXB9.m1","N2_M05493/N5_MA1503.2/N6_HOXB9.h0","HOXB9"
"HOXB9.m2","HOXB9.m2","N4_M05495","HOXB9"
"HOXC10.m0","HOXC10.m0","N10_M05544/N8_M05542/N1_Hoxc10.h0/N15_HOXC10.e0/N14_HOXC10.h0","HOXC10"
"HOXC10.m1","HOXC10.m1","N9_M05543/N7_M05541/N16_HOXC10.e1","HOXC10"
"HOXC11.m0","HOXC11.m0","N14_MA0651.3/N1_Hoxc11.h0/N16_HOXC11.e0/N8_M05281/N15_HOXC11.h0/N10_M05283","HOXC11"
"HOXC11.m1","HOXC11.m1","N7_M05280/N9_M05282","HOXC11"
"HOXC12.m0","HOXC12.m0","N3_M03340/N8_MA0906.2/N9_HOXC12.h0/N12_HOXC12.e2/N1_Hoxc12.h0/N10_HOXC12.e0/N5_M05288/N7_M05290","HOXC12"
"HOXC12.m1","HOXC12.m1","N4_M05287/N6_M05289/N2_M03339/N11_HOXC12.e1","HOXC12"
"HOXC13.m0","HOXC13.m0","N6_M05278/N5_M05277/N3_M03334/N7_MA0907.2/N8_HOXC13.h0/N11_HOXC13.e2/N1_Hoxc13.h0/N9_HOXC13.e0","HOXC13"
"HOXC13.m1","HOXC13.m1","N4_M05276/N2_M03333/N10_HOXC13.e1","HOXC13"
"HOXC4.m0","HOXC4.m0","N1_Hoxc4.h0/N9_HOXC4.e0","HOXC4"
"HOXC4.m1","HOXC4.m1","N3_M00385/N2_M00383","HOXC4"
"HOXC4.m2","HOXC4.m2","N4_M05589/N7_MA1504.2/N8_HOXC4.h0","HOXC4"
"HOXC5.m0","HOXC5.m0","N1_Hoxc5.h0/N70_HOXC5.e0","HOXC5"
"HOXC5.m1","HOXC5.m1","N48_M06643/N50_M06656/N52_M06669/N57_M06770","HOXC5"
"HOXC5.m10","HOXC5.m10","N39_M05609/N38_M05608/N56_M06704/N49_M06645/N35_M05582","HOXC5"
"HOXC5.m11","HOXC5.m11","N40_M05610","HOXC5"
"HOXC5.m12","HOXC5.m12","N60_M10697","HOXC5"
"HOXC5.m13","HOXC5.m13","N68_M11910","HOXC5"
"HOXC5.m2","HOXC5.m2","N8_M02281/N9_M02297","HOXC5"
"HOXC5.m3","HOXC5.m3","N6_M01322/N10_M02314","HOXC5"
"HOXC5.m4","HOXC5.m4","N31_M05535/N33_M05537/N17_M03976","HOXC5"
"HOXC5.m5","HOXC5.m5","N32_M05536/N18_M03977/N34_M05538/N45_M06607","HOXC5"
"HOXC5.m6","HOXC5.m6","N19_M03978","HOXC5"
"HOXC5.m7","HOXC5.m7","N20_M03979","HOXC5"
"HOXC5.m8","HOXC5.m8","N21_M03990","HOXC5"
"HOXC5.m9","HOXC5.m9","N22_M03991","HOXC5"
"HOXC6.m0","HOXC6.m0","N1_Hoxc6.h0/N18_HOXC6.e0/N4_M02299","HOXC6"
"HOXC6.m1","HOXC6.m1","N2_M00476/N15_M06768/N16_M06769","HOXC6"
"HOXC6.m2","HOXC6.m2","N9_M05600","HOXC6"
"HOXC6.m3","HOXC6.m3","N5_M03456/N7_M05598/N11_M05602/N13_M05604","HOXC6"
"HOXC6.m4","HOXC6.m4","N8_M05599/N10_M05601/N6_M03457/N12_M05603/N14_M05605","HOXC6"
"HOXC6.m5","HOXC6.m5","N17_M10704","HOXC6"
"HOXC8.m0","HOXC8.m0","N1_Hoxc8.h0/N6_HOXC8.e0","HOXC8"
"HOXC8.m1","HOXC8.m1","N3_M05118","HOXC8"
"HOXC9.m0","HOXC9.m0","N1_Hoxc9.h0","HOXC9"
"HOXC9.m1","HOXC9.m1","N3_MA0485.3/N4_HOXC9.h0","HOXC9"
"HOXD1.m0","HOXD1.m0","N1_Hoxd1.h0/N5_HOXD1.e0","HOXD1"
"HOXD1.m1","HOXD1.m1","N2_M05302","HOXD1"
"HOXD1.m2","HOXD1.m2","N4_M05304","HOXD1"
"HOXD10.m0","HOXD10.m0","N10_M05323/N5_M05318/N8_M05321/N3_M05316/N2_Hoxd10.h1/N13_HOXD10.e0/N1_Hoxd10.h0","HOXD10"
"HOXD10.m1","HOXD10.m1","N9_M05322/N6_M05319/N7_M05320/N11_MA1506.2/N12_HOXD10.h0/N4_M05317","HOXD10"
"HOXD11.m0","HOXD11.m0","N2_Hoxd11.h1/N9_HOXD11.e0/N3_M03343/N7_MA0908.2/N8_HOXD11.h0/N10_HOXD11.e1","HOXD11"
"HOXD11.m1","HOXD11.m1","N6_M05325/N5_M05324","HOXD11"
"HOXD12--ELK1.m0","HOXD12--ELK1.m0","MA1958.2","HOXD12--ELK1"
"HOXD12.m0","HOXD12.m0","N8_M03410/N17_HOXD12.e1/N1_M02157","HOXD12"
"HOXD12.m1","HOXD12.m1","N7_Hoxd12.h1/N16_HOXD12.e0/N9_M03411/N14_MA0873.2/N15_HOXD12.h0/N18_HOXD12.e2/N13_M05484","HOXD12"
"HOXD13.m0","HOXD13.m0","N11_M05326/N15_HOXD13.h0/N5_Hoxd13.h1/N16_HOXD13.e0/N3_MA0909.4/N9_M03345/N17_HOXD13.e1/N19_HOXD13.e3/N13_M05328","HOXD13"
"HOXD13.m1","HOXD13.m1","N7_M00351","HOXD13"
"HOXD13.m2","HOXD13.m2","N14_M05329/N12_M05327/N10_M03346/N18_HOXD13.e2","HOXD13"
"HOXD3.m0","HOXD3.m0","N1_Hoxd3.h0/N7_HOXD3.e0","HOXD3"
"HOXD3.m1","HOXD3.m1","N4_M05307/N2_M05305/N5_MA0912.2/N6_HOXD3.h0","HOXD3"
"HOXD3.m2","HOXD3.m2","N3_M05306","HOXD3"
"HOXD4.m0","HOXD4.m0","N4_M05480/N7_MA1507.2/N8_HOXD4.h0/N1_M05477/N2_M05478/N5_M05481","HOXD4"
"HOXD4.m1","HOXD4.m1","N6_M05482/N3_M05479","HOXD4"
"HOXD8.m0","HOXD8.m0","N1_Hoxd8.h0/N4_HOXD8.e0","HOXD8"
"HOXD8.m1","HOXD8.m1","N2_MA0910.3/N3_HOXD8.h0","HOXD8"
"HOXD9.m0","HOXD9.m0","N1_M05308/N6_M05313/N9_MA0913.3/N10_HOXD9.h0/N8_M05315","HOXD9"
"HOXD9.m1","HOXD9.m1","N5_M05312/N2_M05309/N7_M05314/N4_M05311","HOXD9"
"HSF1.m0","HSF1.m0","N11_MA0486.2/N12_HSF1.h0/N18_HSF1.e5/N3_M03534/N1_M10716","HSF1"
"HSF1.m1","HSF1.m1","N8_M08435","HSF1"
"HSF1.m2","HSF1.m2","N15_HSF1.e2","HSF1"
"HSF2.m0","HSF2.m0","N1_M02948/N2_M03528/N9_HSF2.h0/N11_HSF2.e1/N8_MA0770.1","HSF2"
"HSF4.m0","HSF4.m0","N1_M00737","HSF4"
"HSF4.m1","HSF4.m1","N2_M02330","HSF4"
"HSF4.m2","HSF4.m2","N5_M09702","HSF4"
"HSF4.m3","HSF4.m3","N7_M11997","HSF4"
"HSF4.m4","HSF4.m4","N8_M11998","HSF4"
"HSF4.m5","HSF4.m5","N9_M11999","HSF4"
"HSF4.m6","HSF4.m6","N10_M12000","HSF4"
"HSFX1.m0","HSFX1.m0","N1_M05719/N2_M05720/N4_M05722","HSFX1"
"HSFX1.m1","HSFX1.m1","N3_M05721","HSFX1"
"HSFX1.m2","HSFX1.m2","N7_M05725/N5_M05723","HSFX1"
"HSFX1.m3","HSFX1.m3","N8_M05726","HSFX1"
"HSFY2.m0","HSFY2.m0","N4_M05715/N5_M05716/N7_M05718/N1_M03530/N8_HSFY2.e0/N3_M03532/N10_HSFY2.e2","HSFY2"
"HSFY2.m1","HSFY2.m1","N2_M03531/N9_HSFY2.e1","HSFY2"
"HSFY2.m2","HSFY2.m2","N6_M05717","HSFY2"
"ID4.m0","ID4.m0","ID4.e0","ID4"
"IKZF1.m0","IKZF1.m0","N1_M11424/N7_IKZF1.e0/N2_M11425","IKZF1"
"IKZF1.m1","IKZF1.m1","N3_M11426","IKZF1"
"IKZF1.m2","IKZF1.m2","N4_M11429/N8_IKZF1.e1","IKZF1"
"IKZF1.m3","IKZF1.m3","N5_MA1508.2/N6_IKZF1.h0","IKZF1"
"IKZF2.m0","IKZF2.m0","N1_MA2326.1","IKZF2"
"IKZF2.m1","IKZF2.m1","N2_IKZF2.e0/N3_IKZF2.e1","IKZF2"
"IKZF2.m2","IKZF2.m2","N4_IKZF2.e2","IKZF2"
"IKZF3.m0","IKZF3.m0","N1_MA1992.2","IKZF3"
"IKZF3.m1","IKZF3.m1","N2_M09455","IKZF3"
"IKZF3.m2","IKZF3.m2","N3_IKZF3.e0","IKZF3"
"INSM1.m0","INSM1.m0","N2_INSM1.h0/N3_INSM1.e0/N1_MA0155.1","INSM1"
"IRF--BATF.m0","IRF--BATF.m0","IRF--BATF.h0","IRF--BATF"
"IRF1.m0","IRF1.m0","N2_M10717/N4_IRF1.h0/N12_IRF1.e6","IRF1"
"IRF1.m1","IRF1.m1","N3_M12002/N8_IRF1.e2","IRF1"
"IRF1.m2","IRF1.m2","N6_IRF1.e0/N5_IRF1.h1","IRF1"
"IRF1.m3","IRF1.m3","N7_IRF1.e1","IRF1"
"IRF2.m0","IRF2.m0","N3_M12015/N6_IRF2.e0","IRF2"
"IRF2.m1","IRF2.m1","N5_IRF2.h1/N7_IRF2.e1","IRF2"
"IRF3.m0","IRF3.m0","N2_M03535/N7_MA1418.2/N9_IRF3.h1/N12_IRF3.e2/N5_M05737/N6_M05738","IRF3"
"IRF3.m1","IRF3.m1","N4_M05736/N3_M05735","IRF3"
"IRF3.m2","IRF3.m2","N10_IRF3.e0","IRF3"
"IRF4.m0","IRF4.m0","N1_Irf4.h0/N14_IRF4.e3","IRF4"
"IRF4.m1","IRF4.m1","N3_M03538/N8_MA1419.2/N10_IRF4.h1/N15_IRF4.e4","IRF4"
"IRF4.m2","IRF4.m2","N11_IRF4.e0","IRF4"
"IRF4.m3","IRF4.m3","N12_IRF4.e1","IRF4"
"IRF4.m4","IRF4.m4","N13_IRF4.e2","IRF4"
"IRF5.m0","IRF5.m0","N1_Irf5.h0/N11_IRF5.e0/N4_M03537/N13_IRF5.e2","IRF5"
"IRF5.m1","IRF5.m1","N2_Irf5.h1","IRF5"
"IRF5.m2","IRF5.m2","N8_M05742/N3_M03536/N10_IRF5.h0/N12_IRF5.e1/N9_MA1420.1/N5_M05739","IRF5"
"IRF6.m0","IRF6.m0","N4_M05733/N6_MA1509.1/N7_IRF6.h0/N5_M05734/N1_Irf6.h0/N8_IRF6.e0","IRF6"
"IRF6.m1","IRF6.m1","N3_M05732/N2_M05731","IRF6"
